Name of our product,Price,Link
Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристый,20220 сом,https://www.kivano.kg//images/product/68352/1622355077_67139000.png
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 16GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS Black,117470 сом,https://www.kivano.kg//images/product/104448/1647656327_70833400.jpg
Ноутбук Acer Aspire 5 Slim AMD Ryzen 3 3200U 8GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 3 Graphics FHD W10 серебристый,48630 сом,https://www.kivano.kg//images/product/105216/1649408626_25046500.jpg
Ноутбук Asus TUF Dash F15 FX516PE Intel Core  i7-11370H 16GB DDR4 512GB SSD Nvidia RTX3050Ti 4GB FHD DOS серый,114840 сом,https://www.kivano.kg//images/product/94465/1623993247_50916100.png
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 128GB SSD NVidia MX330 2GB FHD DOS серый,59990 сом,https://www.kivano.kg//images/product/102145/1641270001_36821200.jpg
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 24GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS Black,121850 сом,https://www.kivano.kg//images/product/104449/1647656338_00907900.jpg
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 32GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS Black,126230 сом,https://www.kivano.kg//images/product/104450/1647656349_74107800.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 128GB SSD NVidia MX330 2GB FHD DOS серый,63500 сом,https://www.kivano.kg//images/product/102147/1641270173_94246400.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серый,93800 сом,https://www.kivano.kg//images/product/102659/1642586619_67085600.jpg
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 8GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black,113970 сом,https://www.kivano.kg//images/product/104451/1647658053_40439900.jpg
Ноутбук Acer Swift 3 Intel Core i7-1165G7 8GB DDR 512GB SSD Intel Iris Xe Graphics FHD W10 серебристый,79320 сом,https://www.kivano.kg//images/product/105219/1649409358_34485800.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый,94680 сом,https://www.kivano.kg//images/product/102660/1642586710_07352400.jpg
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 12GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black,118350 сом,https://www.kivano.kg//images/product/104452/1647658069_78684900.jpg
Ноутбук MSI GF65 Thin Intel Core i5-10500H 8GB DDR4 512GB SSD Nvidia RTX 3060 6GB FHD W10 черный,96430 сом,https://www.kivano.kg//images/product/105220/1649411594_80493100.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD NVidia MX330 2GB FHD DOS серый,65260 сом,https://www.kivano.kg//images/product/102149/1641270382_24545500.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 512GB SSD Intel Iris Xe Graphics FHD DOS серый,92930 сом,https://www.kivano.kg//images/product/102661/1642586802_49262600.jpg
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 16GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black,119660 сом,https://www.kivano.kg//images/product/104453/1647658079_90906500.jpg
Ноутбук Asus TUF FX506LH-HN082 Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Black,80650 сом,https://www.kivano.kg//images/product/104709/1648054104_75575800.jpg
Ноутбук Samsung Chromebook Plus Intel Celeron 3965Y 4GB DDR 32GB eMMC Intel HD Graphics 615 FHD Chrome OS серебристый,30890 сом,https://www.kivano.kg//images/product/105221/1649412505_45316300.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый,90290 сом,https://www.kivano.kg//images/product/102662/1642586891_89649300.jpg
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 24GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black,125350 сом,https://www.kivano.kg//images/product/104454/1647658089_57936400.jpg
Ноутбук HP ENVY x360 Intel Core i5-1135G7 8GB DDR 256GB SSD Intel Iris Xe Graphics G7 FHD W10 Pale Gold,79320 сом,https://www.kivano.kg//images/product/105222/1649412935_40238900.jpg
Ноутбук Asus TUF Gaming FX506H Intel Core i5-11400H 16GB DDR4 512GB SSD NVIDIA RTX 3050 FHD DOS BK Graphite Black,105360 сом,https://www.kivano.kg//images/product/105478/1650273464_01739400.jpg
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 240GB SSD W10 Grey,36900 сом,https://www.kivano.kg//images/product/92679/1621497953_77010600.png
